,WT_HTB-22,WT_HTB-123,WT_HTB-25,WT_CRL-1897,MUT_HCC1187,MUT_HCC1419,MUT_HCC1954,MUT_HCC2157,MUT_HCC2998,MUT_MFM-SS3
NEK5,0.39278118,-1.349435355,0.097178914,0.482932064,-0.295366076,1.645965563,-0.426604133,-5.401401317,-2.330499028,0.191383383
NEK4,0.360448918,1.522551145,1.423954943,-0.917102429,-0.71608838,-0.252457365,0.168675934,0.048535749,2.466688103,-2.415667507
NEK3,1.232610012,1.527087455,0.44788841,1.833517968,1.576013069,2.242447286,2.424401879,0.64434021,1.444562456,1.151449877
NEK2,1.082499959,1.908760927,1.981186926,2.31433447,2.011484419,2.183736352,2.567561582,0.484770358,0.015415502,1.064151599
NEK11,-0.161860645,-1.400652917,0.565781466,2.257593924,-0.274196023,0.060406649,0.719962463,1.182950325,1.171907059,2.862142849
NEK1,-0.62416973,-1.516211032,0.390121692,1.564016205,-0.15700026,1.128252484,0.218138035,0.487315715,0.39007454,0.28143528
NBS1,1.048292296,1.314966925,-2.102321176,1.30924042,1.66541943,2.037518906,2.058107541,-0.541419362,0.411681503,0.654249105
NAGK,1.1988035,0.775292884,-0.304322598,1.625609338,1.998715024,1.911625708,2.15134679,0.063763285,1.264259838,0.21501412
N4BP2,-1.758317972,1.368007703,-0.60627471,2.619885895,-0.027432626,0.762335447,2.029201493,0.377276906,2.486224097,1.054591647
MYO3B,-0.301390034,0.614798866,-0.603346939,1.752161722,0.087957202,0.70197819,-0.97708273,0.988637513,-0.713424775,-0.603265825
MYO3A,-2.275005165,2.418946057,1.789452438,-0.282492339,-2.594778305,-0.930394712,-0.733025653,0.624769281,0.972656262,0.195178332
MYLK2,0.946736293,1.632071678,1.546749402,1.150841989,1.165516076,2.074949502,1.975413699,0.446343735,0.129436084,-0.211959009
MYLK,-4.5986058,-1.293744292,1.889306213,-0.375917613,-1.771261631,1.414975204,-0.909913682,0.572450565,-0.654506506,0.357419294
MVK,1.298114054,1.518539791,-1.246323891,2.040411537,1.965972522,2.199048357,2.459946867,-0.319950283,1.333341815,1.312708776
MUTYH,-8.29986311,-9.697816513,-14.06749182,-6.704107508,-8.846473399,-7.025696429,-14.12364289,-18.26655331,-7.589857282,-14.26150628
MUSK,1.187245371,2.666153246,1.931390309,1.561988252,1.540992646,2.308715703,0.603197828,2.690466793,0.688671851,0.828511443
MULK,0.954057789,0.87425635,-4.464941108,0.305764947,1.673332245,1.936234867,1.564126658,-2.673558467,-0.117006888,0.299443095
MST1R,-1.326607107,-0.732828251,0.212835588,0.762070015,1.236637268,-0.568486574,-1.844330198,0.846945579,0.654623373,1.413455234
MSH6,1.123070358,1.286919795,0.359896456,1.589441584,1.675427149,2.130668175,2.270647121,0.412303312,1.692705291,0.457279089
