,WT_HTB-22,WT_HTB-123,WT_HTB-25,WT_CRL-1897,MUT_HCC1187,MUT_HCC1419,MUT_HCC1954,MUT_HCC2157,MUT_HCC2998,MUT_MFM-SS3
ILK,-0.339252441,-0.0501012,1.025483338,1.033622956,1.275828495,0.981214151,0.520719072,-0.31347194,-0.237417082,2.65153696
IKBKG,-0.611326477,-1.276689945,1.07970627,-0.751983768,-0.172094697,-0.287909843,-0.894195492,0.702822357,0.158962436,-0.022747302
IKBKE,0.788348059,0.982182976,-0.122030925,-3.66488324,0.104311735,0.179996894,-1.286154075,1.481717807,0.853994029,-0.624550509
IKBKB,1.17116562,1.292921275,-0.338800398,1.765442414,1.689881241,1.966798752,2.359261627,-0.195262177,0.871575045,1.350945489
IKBKAP,-8.420218993,-10.45087716,-13.82166499,-6.661769187,-8.995722797,-6.247369408,-13.86942893,-21.71114621,-6.875755615,-13.32870378
IHPK3,-1.504082001,-1.184800133,0.234862733,-0.845727543,-0.408648225,-2.077762116,-0.651314712,-0.347511082,1.696097636,-0.588259828
IHPK2,0.080396047,0.715971546,0.140026078,1.422101768,-0.335220403,0.841267623,0.204339,0.35935012,-0.00202539,1.096720473
IHPK1,-0.645232706,1.709713757,0.841813072,0.514621012,-0.079983754,0.664534553,1.624073686,3.007434382,2.108009812,-0.67260576
IGF2R,-1.472125971,1.046412763,-1.617826305,-0.970171879,0.093492947,-0.943931407,-0.653062676,-4.238722722,-5.078287356,1.214783894
IGF1R,-0.770212929,-0.463324125,0.080883672,0.992800282,0.936955073,1.539577473,0.211915888,-4.032190019,-1.771123988,-1.186257152
ICK,-0.574679847,0.268055624,-0.835261523,1.392966276,0.011853565,-0.366477144,-1.420454637,-0.42713263,0.824175439,-0.26296535
HUS1,-0.764328028,-2.392801863,1.558223995,-1.36948978,-4.13095858,1.226740017,-0.444688047,-2.886190309,-1.204652081,-1.321746299
HUNK,0.621209638,-0.094003165,1.046849984,0.028910003,1.460880735,-0.004170499,1.416920185,1.322787888,0.048506856,-0.15522467
HSPB8,0.947867016,0.708276839,0.288380619,1.444335464,1.722895943,0.742394437,0.427943108,1.716973228,-0.968920231,-0.913215212
HSMDPKIN,-2.13562865,-0.161283279,-0.650749291,1.884610757,-1.922254139,-0.30399107,-0.087672226,-2.443314779,0.118067658,-0.123333717
HRPT2,0.505431918,0.057022297,-2.027299758,-2.336838401,-0.149123716,-1.960965725,-0.094510539,1.105869177,1.564051406,-2.498547305
HRI,0.445552965,-2.80721399,-0.024900987,-1.234518081,-0.334463147,-1.225949284,-0.285342414,0.941020513,0.33534456,-1.986476299
HK3,-1.500903368,-2.294410952,-2.388867468,-0.169189201,-1.335771435,-3.44410884,-2.000448509,-2.124634986,-0.996813077,-1.782536703
HK2,0.998083664,1.290504626,-1.70817033,0.721795681,1.593082725,2.01571049,1.684064532,-0.515669408,-0.049815147,0.049494569
HK1,1.067440637,3.069633578,0.497881443,1.842444609,1.101109372,1.654105278,1.769149866,1.729944367,2.776226947,2.688960121
HIPK4,-1.538943964,-2.378416914,-0.082353784,-0.189307022,0.234286218,-1.919565559,-1.049094061,-2.687341432,-0.728188926,-2.876118333
HIPK3,0.543141491,-0.100234901,-0.024074796,-0.606309411,-0.327953947,2.069123156,-0.883697029,-2.509756933,-2.715272973,0.618470001
HIPK2,1.080541069,0.603830496,-0.154219521,-0.250497191,0.41648299,1.037023933,-0.252560548,0.437453227,0.139610856,-1.986334392
HIPK1,0.929485636,1.254824252,1.159888837,1.385604328,1.360117814,0.876069788,0.995792819,-0.71340935,1.856685293,1.097959934
HCK,-1.757064647,-1.004568327,-0.306332638,-1.607744323,-2.134129934,-0.983994458,-1.416586901,-0.220953489,-0.29288105,-0.249723564
HAK,1.264187058,1.479574595,1.301847175,1.788078044,1.735534805,2.109383499,2.506962546,0.47756,1.943640571,1.323821108
GUK1,-2.359410828,1.963973386,-0.998161665,-1.24083255,-4.559591831,-2.09019949,-0.661629728,-0.449868096,1.276068384,-1.932480857
GUCY2F,1.199790912,1.360435198,0.885419934,1.504520737,1.744930244,2.087921204,2.198133029,0.585501792,0.81280283,1.277126606
GUCY2D,1.232544458,2.130504223,-0.254105462,1.362611965,0.877114878,1.376035889,0.838616781,-0.056193124,-0.832967762,2.126082733
GUCY2C,1.063453515,1.265060579,-0.039662004,1.850349804,1.910449707,2.148003598,2.429566656,-0.244189759,1.092144529,0.991643738
GTF2H1,0.819045293,-0.320356136,-1.911334396,0.011986094,-0.723027901,-1.769299663,-4.065946286,-1.304312392,2.079414235,-0.324135831
GSK3B,0.479537489,0.44026091,-4.168379067,-2.250358468,-1.059647223,-1.164267869,-0.275171877,0.595210011,-2.065219349,-0.692810706
GSK3A,0.819780437,0.19670311,0.664994932,0.65954348,-4.539752787,0.377920751,1.429910844,0.71311157,0.602381501,0.891433207
GSG2,1.570180825,-0.936948864,-1.256594909,-0.74144242,0.213558299,-0.253405216,-0.886662798,-4.668829908,-1.418750552,0.95120407
GRK7,0.173966341,2.881247145,-0.353032676,-2.588335754,0.465772153,-0.381130172,0.392402448,1.210359503,1.551896371,0.323120257
GRK6,1.854910093,0.718428817,0.862906799,1.800668613,2.124414041,0.13833792,0.79919317,0.741692028,-0.03103676,2.175861314
GRK5,0.887377237,-1.042869273,0.769472421,-0.641740248,-1.114993294,-2.131038561,-1.078405177,1.04638001,1.135770079,-0.594779707
GRK4,0.351231796,1.692427501,-0.299577928,-1.561175923,0.832411793,1.790898924,-1.424850917,0.09045573,-3.073862031,-1.646403226
GRK1,1.763939395,1.331118953,-1.795157712,1.403769585,2.075244737,1.509917983,1.912449685,-0.477661217,1.279237972,0.596501012
GPC3,-0.001236853,2.413743667,0.212364351,-0.295765295,-0.863206602,0.732977187,1.099896773,0.110907509,1.494935259,-1.956009755
GOLGA5,1.077333036,0.37935085,0.378917261,-1.278623946,1.60491238,0.234205035,2.553747217,-1.4085885,-0.440726819,1.202870864
GNE,1.25717399,1.112612091,0.391479369,1.88990025,1.824582043,2.197095996,2.352937345,0.118377897,1.340529063,0.868409839
GK2,1.052319879,1.543693985,0.680473664,1.796565179,1.815726525,2.260139624,2.356175315,0.28256135,1.492389863,0.963288133
GK,-0.759015062,-0.436613584,-1.63178896,1.030705401,0.240230728,1.129466317,0.040633281,0.086682608,-1.154798927,-0.945094173
GCK,0.878409688,2.652133825,-0.174069445,0.840413212,1.248375852,1.089952005,1.180880272,1.761060586,1.498315895,1.163553598
GALK2,-8.053297883,-8.83595471,-13.01654615,-6.82373391,-8.234576609,-5.51265057,-11.42960065,-17.40746832,-8.06668635,-12.64079333
GALK1,0.57163554,-0.747910204,-0.570655714,0.355930262,0.74731741,0.365593525,0.55875446,-5.610239178,-0.637159096,-0.279942969
GAK,1.309345098,1.35528106,-1.01103001,1.765396549,1.734712543,2.156248775,2.393765615,-0.35902127,0.917121192,0.739690582
FYN,1.969909845,1.301949483,-1.446299098,1.679068886,2.025145796,1.655946745,2.188192958,0.436379001,1.016664457,0.427176201
FUK,-0.456441637,0.055021523,0.614182506,-0.112240996,0.635239512,-1.178575559,0.764410663,1.54796298,0.049599258,0.019035982
FRK,1.303873405,1.174398182,-0.514430015,1.921849163,1.617685924,2.221119581,2.482283312,-0.268857813,1.368837787,0.646559665
FRDA,1.108622286,1.23227422,-1.296022088,-2.866426461,0.036511459,-0.434518196,-0.57406949,1.002101668,1.505469982,-1.117690018
FRAP1,0.537026577,-0.42115079,1.241002694,-0.551941406,-0.458793647,0.348126359,0.117947277,-0.029507466,-0.603929002,0.4862362
FN3KRP,1.288324594,1.457105518,-0.297047819,2.005586459,1.7652329,2.117710337,2.331665304,-0.027181472,1.378300221,1.076108133
FN3K,-4.831453718,-1.501931973,-0.971377139,-1.571964674,-1.859083424,-3.568862673,-5.640074303,-0.397266614,-6.13773351,-0.56502504
FLT4,1.212016072,1.422372648,-0.354147121,1.238462364,1.147194312,2.149844579,0.995041774,1.133889609,1.490331708,-0.014507628
FLT3,-8.101071709,-10.14962244,-13.88789007,-6.44423737,-9.076536102,-5.441771646,-12.85129104,-17.7547622,-7.892866471,-13.54494874
FLT1,0.066761012,-1.777554251,1.242084904,0.59583519,-0.838902133,-1.217049671,0.216581859,0.154021781,-1.31113714,0.896654137
FLJ39827,-3.512433016,-2.578793964,-2.195049374,-0.523936993,-2.016912238,-0.384564239,-4.480315339,-0.741270501,-1.16285694,-1.441913528
FLJ34389,-1.130068593,-0.858026273,2.374455531,0.751916258,-1.557872074,-0.388597115,0.328143021,0.585056319,0.760893206,-0.620281825
FLJ32685,0.444756288,-0.002177602,-3.861436416,-0.384079831,0.928152082,-1.759540317,0.345370636,-2.410399144,-0.059512656,0.733375504
FLJ25006,0.995464742,0.828015625,-1.892466435,0.766306286,1.783339122,1.983292158,1.766000662,-1.75592445,0.036084435,0.284802111
FLJ23356,0.20488822,0.95802992,0.235388708,1.63003636,1.577608924,0.778690716,0.655223796,0.848914324,0.060780468,2.140027218
FLJ23356,0.841439747,-0.240621777,0.879050028,-1.593351784,-1.080635826,-0.757978837,0.306472844,0.060753013,-1.697500534,0.807280375
FLJ23074,-0.69273661,-0.634376057,0.206042484,1.053450302,0.180246257,-0.571033411,-0.111648941,0.282232485,0.998144379,0.519108152
FLJ21816,-8.113629659,-9.878305726,-12.70338155,-6.525759831,-8.130494981,-5.113635341,-11.71577247,-20.8776322,-7.48514433,-12.47053377
FLJ13052,1.235409804,1.963882111,-0.29040048,1.68582662,1.889615044,2.04140281,2.314162244,0.164992515,1.603720785,0.777242779
FLJ10761,1.513172733,0.375356418,1.432593382,0.236757802,-0.173069263,1.866900267,-0.415900426,1.832595327,0.520332284,-0.240423266
FH,-1.873617677,1.264971764,3.345020718,1.801992256,-0.075653776,-0.670908313,0.409433471,0.967803784,1.908866479,1.067345523
FGR,0.951869952,0.546479392,-0.968287194,-0.071155952,2.07442739,0.961239136,1.846220105,-6.516642023,-4.517442158,0.680097606
FGFRL1,0.954753165,-1.811420831,0.28705165,1.241901845,0.582032828,-0.874727283,0.116127329,-0.2702666,1.815920004,-4.139372938
FGFR4,-0.790823942,1.436606347,-1.278819037,-0.002403074,0.940419768,0.88469518,1.494366533,-2.275519546,0.408108417,0.26445621
FGFR3,1.076088349,1.360642085,0.827292172,1.688805837,1.77689167,2.167090093,2.414973318,-0.07199709,2.006943749,0.780219091
FGFR2,1.141458934,1.109476291,-0.609414483,0.937030376,1.86949114,1.646573011,1.776027669,-0.022819522,-0.140574526,0.592007881
FGFR1,-2.326080219,0.643432099,1.75621359,0.401066006,-0.49143539,-0.705683442,1.017862601,-0.513217577,-0.796748485,-0.250864682
FES,-2.337618293,-0.695978656,0.212635519,-3.148876847,-0.667305581,1.310630605,0.516938867,-3.239555761,-2.186147453,-1.320043898
FER,1.241792814,1.655739439,0.16203516,1.646993149,1.783933117,2.072219649,2.283039493,0.032569372,1.408115076,1.07639558
FBXW7,1.790141202,2.457165019,3.164596263,0.679812015,1.679376337,2.033660862,1.22647245,3.259358262,1.452886466,0.471932372
FASTK,0.081915872,3.516147591,1.288467473,-2.252140397,0.862438555,-0.141213783,0.912214762,4.242430876,1.435687428,0.539675437
FAS,1.14887195,1.541787095,0.837869657,2.195058963,2.030309377,2.256220332,2.598116174,1.496595598,0.433516365,1.233075291
FANCG,-1.590923961,-0.426763299,-1.369682438,-0.470309308,-3.010481211,-1.85264096,-1.399809501,0.924681052,-1.040299751,-1.621764054
FANCF,1.266518381,1.427435832,0.882278126,1.837907064,1.654271205,2.22479842,2.635787416,0.186898586,1.773557012,1.119393935
FANCE,1.00056338,3.688867815,-3.162863948,-0.356757557,0.569822508,0.584556723,2.279172696,-0.50269986,0.814698615,1.917597902
FANCD2,-7.1344161,-6.160608231,-1.17475839,-3.207549186,-3.332163831,-3.472165916,-5.348846057,-3.563612239,-6.903153953,-8.881078928
FANCC,1.161372695,1.53925094,0.756968702,1.583856139,1.685379733,2.226978398,2.337097909,0.106761028,1.522417855,1.088384042
FANCA,1.594398273,0.831600027,1.272641549,-1.433966166,1.460227825,1.046894945,1.151546665,0.597220901,-0.265643613,1.39845957
EXT2,1.263857114,1.034991582,0.734034768,1.866521472,1.838778714,2.148648562,2.475612415,0.019828029,1.317247971,1.077525058
EXT1,1.286318685,1.641924565,0.786958574,1.986088363,1.905444307,2.162670703,2.424173199,0.711119031,1.652344013,0.950337103
EXOSC10,0.055506533,2.922063875,0.840015086,-3.300082884,0.578176501,-0.280876698,0.527618685,1.290559145,1.717451269,0.313910185
ETNK1,0.821437209,-2.853561671,0.636055975,-1.212516691,-0.8376943,-0.243181192,-1.48568509,-0.050335696,-3.480010024,-0.718455764
ERN2,-0.284393225,2.125129353,1.737478271,-1.79008011,0.648324104,-0.099476752,0.848815286,1.217062828,0.938165016,1.507377127
ERN1,-8.395643279,-9.29784914,-13.88256373,-6.856256652,-8.672617352,-5.19695621,-12.31604813,-21.098357,-7.724446402,-12.05034438
ERK8,1.289470726,-2.408759073,-2.547241524,0.00121789,0.142770263,-0.80472913,-0.74443901,-0.398035752,-1.674106475,0.554085894
ERCC5,1.66713909,1.635166965,-1.142949288,0.202149746,1.823244384,0.429865352,0.106713237,-2.706776196,-0.010789729,1.017832766
ERCC4,1.045306133,2.46976165,0.433466772,0.784424715,0.836936304,1.576930783,0.756296443,1.231704778,1.344294562,-0.044282948
ERCC3,1.073986866,-3.35882975,0.53163806,-1.523491558,0.524022974,0.0504091,-1.040069198,-2.382361642,1.322427724,-0.241287601
ERCC2,-2.067014179,-2.265125315,1.445345642,0.26762479,-0.530427466,-0.534755461,-0.71196442,-1.21180005,1.879632679,-0.083640185
ERBB4,-3.862019255,-0.39392539,0.983848834,-0.51878437,-2.248586152,-1.40959434,-6.812042093,1.199840287,0.188597359,-1.523185049
ERBB3,-1.164111935,0.23667911,0.306739361,0.870180002,0.997975964,1.510616524,-0.235111163,0.940459702,-0.366882568,-0.735395999
ERBB2,-0.432027202,-1.898560272,1.021670881,1.171348408,0.134328576,-0.873970806,-1.7795135,0.524114915,1.383524286,-2.389205497
EPHB6,1.445083839,1.502795499,1.121219201,1.177265635,-0.573075503,0.428877344,2.841788917,2.628376301,0.483497285,-0.169042491
EPHB4,-5.006534874,-4.547099383,-4.880308134,-1.701187735,-5.350925154,-3.546098857,-4.358262314,-7.227477936,-1.485797893,-5.805139829
EPHB3,0.863753596,1.64878215,-0.69412439,1.496321184,1.600120582,0.654316261,2.001566691,-0.344223251,0.065332178,-1.261485616
EPHB2,0.803278094,-0.381543387,-1.561616911,0.322346395,1.572202428,0.546969465,-1.399963986,-0.224572407,-3.583303586,-1.092578959
EPHB1,0.939095366,-0.567369843,3.122938804,1.947292214,1.102755693,-0.098106736,1.477748941,0.760314657,1.162624822,1.692642816
EPHA8,-0.468341856,3.289289016,0.623406011,-2.060769895,0.512411077,-0.430093936,0.44887442,3.481457909,1.110030801,0.282531115
EPHA7,0.767368341,-0.207562579,-0.537320372,-1.291633144,0.545122707,0.617472251,-1.19131912,-0.773302052,-3.529475516,-0.100603398
EPHA6,0.511778867,-0.293191567,0.188784772,1.073263665,-0.359693255,-2.418102558,1.304547342,3.770380133,1.085768237,2.099927705
EPHA5,1.739333826,1.199039065,-3.169883074,0.536109527,2.018510974,1.695363218,1.764165222,-7.696654857,-4.448386734,0.490772925
EPHA4,1.194701469,1.694324902,-0.112974716,1.598719545,1.57578271,2.160113362,2.451487413,0.053571133,1.142853392,0.816608248
EPHA3,-1.641849734,-1.211658017,-0.706388739,-1.056503973,-1.901915846,-0.979548475,-2.589335302,-1.173387215,0.479389483,-2.542512272
EPHA2,-0.339677138,-0.165327356,1.191391053,-0.898100182,0.770415736,0.170603659,-4.488574969,0.278999061,-2.081600827,1.548867864
EPHA10,1.040112311,0.472254292,3.293025329,1.980202294,0.856146972,1.900093134,2.949503651,1.692094912,2.019743594,2.536890871
EPHA1,-7.46775492,-10.02824468,-14.44953325,-6.637437989,-8.786200197,-5.257189762,-12.31725973,-19.04582238,-7.059436225,-13.93949902
EP300,-2.147571547,-2.915488466,-3.790425444,-2.30055978,-0.396702209,0.152714417,-3.23885654,-5.495589661,-2.841988706,-1.750608209
EIF2AK4,0.826002735,0.981391799,-4.462366345,0.243623793,-1.312426078,0.938750393,1.021453415,-3.658849907,0.825141234,0.713968185
EIF2AK3,-6.768128214,-8.074863438,-14.13472883,-6.36578107,-8.183756441,-3.412309856,-9.75322549,-14.97712604,-8.048303196,-12.41985935
EGFR,1.258156414,1.448423174,0.03504456,1.920994949,1.915602867,2.131773932,2.435882083,-0.046878975,0.445450253,1.021754505
EFNB3,-0.843050374,0.575026404,-1.256417234,2.098429633,-0.94584241,-1.146644209,0.967919864,-0.859454318,1.532112297,0.063190476
EFNA5,1.153941596,1.391944992,1.811321152,1.840252429,1.857855791,2.136824335,2.410518564,0.637760422,2.121563783,0.752094713
EFNA4,-1.917036733,-1.250285527,-0.316220494,-0.068073143,0.890797759,0.538015035,0.806720229,-3.270470481,0.010463277,-2.774514241
EFNA3,0.164866971,-1.45855111,-1.822751115,1.549569583,1.099402143,0.921667689,-0.165920946,-1.767289566,-1.78862498,0.719323228
EEF2K,0.509609092,-0.859658309,-1.64028074,-1.252403651,0.321146471,0.457550264,0.927068559,-6.041734634,0.380233247,1.274686419
DYRK4,-5.107063499,-3.055249662,-2.202901629,-0.840560558,-4.182512838,-4.022785231,-1.469894513,-2.000184113,-1.940955197,-4.691745907
DYRK3,1.602687226,1.765127418,0.040517633,-2.80469067,-0.135127119,-0.305413516,-0.687743211,1.245770951,0.540836491,-1.15231108
DYRK2,1.340612443,1.531693116,2.207966672,2.161082401,2.250929242,2.172480239,1.869635784,1.556295437,0.584180734,1.903525341
DYRK1B,1.686510508,0.773852794,1.22772444,1.871942091,2.101220179,1.343530099,-0.126732201,1.947672531,-0.045991337,2.262662812
DYRK1A,-2.781187147,0.786361445,1.14684619,1.455935789,-0.619860555,0.035955197,-0.278182896,0.940617184,2.016477207,-2.837563613
DUSTYPK,-3.337931731,-3.34742219,-0.217661971,-0.917359125,-3.302218688,-1.609466106,-2.941372945,-3.324347446,-0.670697698,-1.148078411
DUSP21,1.778387985,1.057035183,-0.147592768,0.770943459,1.873608506,1.726725701,1.719014432,-1.179748627,-0.467967869,0.461729979
DTYMK,0.272832717,3.529307685,2.263116774,-2.119199246,0.531290158,-0.55189643,0.403922497,2.541434404,0.748418963,0.673004457
DMPK,0.933676245,0.976192329,-0.337375994,-3.069875343,0.001340899,-0.378003538,-0.78274155,0.309348897,0.654086613,-0.896478889
DLG4,0.160644349,3.398638431,1.313036925,1.511211752,0.186894382,-0.670219892,1.033816983,4.184598662,2.206942156,1.196241184
DLG3,0.595719375,0.151041471,-0.036901285,0.663036334,0.947786102,1.149915662,0.505641801,-0.754189336,0.000682084,-0.361517313
DLG2,-0.97726446,-1.880917378,-2.124081041,-2.91629268,-7.263123406,-2.850078938,0.025316602,-2.857549308,-0.892897639,-0.034456548
DLG1,-3.656924071,-1.843318756,-2.258976103,-5.789002733,-3.001942937,-3.112267453,-3.567209178,-1.027027599,-5.665800649,-5.54713953
DKFZP761P0423,-0.35085898,0.350022258,-2.605520027,0.217033353,0.964304629,-0.862324911,-0.475636883,-5.713061433,-0.3248305,0.908404194
DKFZP434C131,1.160527265,1.153731601,-0.179877709,1.247516263,1.927957905,1.899831155,2.258170183,-1.311033326,0.200168253,1.140082169
DGUOK,1.133762168,1.284993471,1.325581632,1.839549502,1.763603237,2.164386561,2.401497325,0.11759863,1.34833187,1.189166417
DGKQ,-0.527881205,0.914947286,-0.156569352,-1.490946531,-0.153491089,0.554899727,-0.617491757,0.803681358,0.709209749,-2.202517996
DGKK,-2.058359117,-0.486196752,0.834369018,-2.973576874,-1.500995511,0.512502365,-0.431176188,-2.20110104,-2.275372328,-2.382617337
DGKI,0.995551764,-2.523476393,-0.207004313,1.643922733,0.46348411,-1.424096755,0.306581901,0.173795025,0.426027031,1.092377321
DGKH,-4.002170404,-5.517092894,-2.049001755,-5.510778425,-6.379481325,-3.035023623,-6.341854177,-4.646375659,-4.168257853,1.127144668
DGKG,0.225764645,3.851735088,1.726173354,-2.637477953,0.564160451,-0.418932528,0.264848478,2.58853899,0.001402042,0.08463977
DGKD,1.118165082,0.987612861,0.53626494,1.446761989,1.627376327,1.484549931,1.895852064,-0.382312659,1.936324405,0.276442393
DGKB,0.224792065,0.14491477,-2.700015702,-3.612977907,-2.344241615,-0.627622346,0.609523294,-2.50015255,-2.135121052,-0.535133068
DGKA,1.108253869,1.300359223,1.364199576,-3.588897145,-0.063165637,-0.649802527,-1.102185476,1.102764213,0.849792064,-1.343965115
DDR2,1.384158255,1.687225082,0.704882023,2.098193887,1.917665332,2.100333424,2.311634916,0.420842568,1.557193535,1.086450585
DDR1,0.679299283,-0.79885274,0.574825692,1.189113997,0.613414858,-0.000208089,1.014437156,1.133533104,-1.426269631,0.342966317
DDB2,1.464090338,0.844188601,1.001302852,-0.42042625,1.347770064,1.01558108,1.336695027,0.308277533,0.899914129,-0.000428664
DCK,0.954850087,0.968712109,0.489754474,0.853726687,0.926368286,1.348699068,0.081048398,2.432434518,-0.314944148,1.095635285
DCAMKL1,2.034445399,-0.173791852,0.8582208,1.716290174,1.997701116,1.220439227,1.197294267,0.363703417,0.413961293,2.185868085
DAPK3,-3.314306183,1.721813794,0.384186938,-1.6242639,-0.68843626,-3.139137129,0.391391841,-0.088832709,1.066775228,-0.285046114
DAPK2,1.089918066,-0.260919071,-0.488307411,1.942254204,1.767271875,-0.149033851,0.675013394,0.02284606,-0.000682084,1.978302773
DAPK1,1.79781841,1.851535036,-0.477204431,-2.751615515,0.339239107,-0.631875885,-0.300244262,2.810360403,1.004308456,-1.115346877
CYLD,0.566032115,1.218257214,-0.375968761,1.221289996,0.400426277,1.153033475,1.063854237,0.104817143,0.728012203,-0.000977511
CSNK2B,1.389616471,0.004724408,-1.387911404,-0.410381368,0.684198164,1.63748761,0.248256935,-0.450132864,-2.507913234,0.882054087
CSNK2A2,1.291684146,1.224752293,0.180252967,-2.966896216,0.280160714,-0.294504787,-0.507076719,1.284258294,0.828940833,-0.86347356
CSNK2A1,-2.253356614,-1.0261717,0.0306831,-2.643653956,-4.139563114,-1.929875564,-1.558347476,-1.929861475,-0.005018763,-0.396829775
CSNK1G3,0.173182459,3.188396417,0.55672849,-2.752761605,0.361344013,-0.163746135,0.372164231,1.481664867,-1.203145007,-0.440088899
CSNK1G2,-0.568886851,3.292044434,2.449300012,-2.431905148,0.713287371,-0.372119455,0.346340543,2.674541348,1.418700879,0.807460623
CSNK1G1,1.003829814,2.149841643,-5.421261275,0.052117797,0.086141557,-2.039140047,-0.205388031,0.19147247,1.100277942,-0.670870193
CSNK1E,0.729374743,0.157242654,0.581035178,-0.906926737,-0.420512061,0.138434584,0.048942291,3.190770381,-0.307099567,-0.816228093
CSNK1D,1.079687675,1.739848425,-0.482772969,1.905207373,0.393627514,0.336001012,2.203649419,0.475776388,2.070790402,1.657672988
CSNK1A1L,1.126654966,1.011982697,-0.320477149,1.283933416,1.655797568,1.94993754,2.14842233,-2.870362977,-0.467923839,0.959743866
CSNK1A1,0.002132819,1.63639652,2.973280119,0.681817011,0.947672394,0.364483324,0.900001586,1.21663734,1.333352358,2.412102774
CSK,-3.687359024,-0.060058028,-2.814208737,-2.537642009,-2.52538182,-2.588790224,-5.207227318,-1.719492458,-0.436232269,-2.409844087
CSF1R,-1.83299029,-0.706627995,0.934145933,-0.203581673,-0.03949069,-0.03483098,-1.227052242,0.160036265,-0.97091414,0.066085345
CRKL,0.551597164,0.035734137,-0.039207857,-0.579002343,-0.092050735,0.574903841,0.662674068,-2.089452517,-1.358760657,1.405891724
CRK7,-1.32810025,0.438089533,-5.633984177,-2.840956235,-3.275290304,-1.396056309,-0.033695727,-6.519199812,-3.147589645,-1.528947777
CRIM1,-7.155208126,-7.883704082,-13.06952541,-6.724516753,-8.196420345,-2.845752714,-9.187478323,-10.10060452,-7.502665954,-12.05156826
CPNE3,1.307638992,1.510766783,0.615864086,1.839101803,1.752456863,2.115473634,2.381330267,0.030273231,1.577820434,0.653515482
COPEB,1.348291397,-0.009583927,-4.437833057,0.952019136,0.977112604,-1.69822904,0.107219433,-2.590406143,-0.89893454,-0.574940136
COMMD3,0.969738222,0.982597165,-2.933687344,0.722084414,1.705624826,1.98590803,1.771564054,-3.914777364,-0.380625886,0.056910146
COL4A3BP,0.43491244,1.035247719,1.4370247,-0.527938625,0.559896247,0.347126813,1.094287054,0.85882831,-1.077800628,1.153929181
COASY,0.63852249,-3.654557306,0.196020605,-2.703422172,0.350456431,-1.447806869,-2.044483405,-4.480227377,1.039986916,-0.171434861
CLK4,-0.849275088,1.174224104,-0.791072707,0.982728221,-0.682211973,0.116453421,0.390428183,-0.821261978,-0.90079674,1.869930328
CLK3,0.631018142,0.593938292,-1.157791982,0.600898279,1.060326,0.098611887,0.835628146,0.546913806,-1.840832095,1.069254512
CLK2,-0.210816712,2.175129868,0.024020105,1.649846734,1.047794842,0.681481049,1.386601372,2.54783533,0.494668381,0.043661606
CLK1,-1.945680959,0.673320339,-0.021899934,-0.676119773,-2.583798222,-0.884884626,0.88178355,-0.734379285,0.913712787,-1.484172086
CKS2,0.352643092,-1.288354786,1.201882287,-0.972046221,-1.256819444,-0.311167799,-0.589011343,-1.686070152,1.011132804,0.94775182
CKS1B,1.999022304,0.122505199,0.629014021,0.73586072,0.658834685,1.164573893,-0.244365017,0.727143029,1.779010295,1.70731117
CKMT2,-1.319899709,-1.06110605,2.4823922,-0.019884598,-0.213790755,-1.362419044,-2.238513217,-0.605179215,2.148064694,1.183235229
CKMT1B,-0.491969406,0.237456477,0.945974779,0.090364107,0.250022527,-0.616582515,-1.362388865,1.235416512,1.017821958,0.029589792
CKM,-3.051239211,0.58773817,-1.962711244,-1.231197683,-1.04213282,-1.265794334,-0.968297695,-0.709369008,-2.04931781,-1.719328118
CKB,-7.208346748,-7.274541012,-12.52919815,-7.162419193,-7.982433585,-3.478547558,-10.25542922,-9.940249303,-6.45761839,-11.14752468
CIT,1.726269026,1.495741455,0.69050791,-3.163464628,-0.113217788,-0.59568073,-0.958576802,2.000385726,0.925461003,-1.357747237
CIB2,1.079720822,1.214740763,-0.2351744,1.098650999,1.372342678,-1.853841619,0.468154813,1.995761275,2.389581011,-0.594489881
CHUK,1.83051292,-2.150090877,1.570795674,1.46787064,1.433964021,0.870683541,1.693462815,-0.049090314,-0.574542409,-0.270478338
CHKB,0.476490817,-0.63083564,-2.365793865,-0.680721188,-1.31431649,-1.880652093,0.174633431,-1.215247913,0.672595879,-0.511055788
CHKA,1.501989536,0.960679108,-1.611566473,-1.750275675,-0.866563683,-0.610021866,0.916549074,-1.749301257,-2.722024155,2.448281916
CHEK2,-0.388898905,-4.15085065,-2.064650329,-0.545116291,-0.39264292,-0.410434126,-1.324777776,-5.860633344,-0.195343824,-1.185553492
CHEK2,-1.837994689,-0.184802986,-3.88032125,0.19786397,-0.9018724,-1.971395664,-1.696359513,-1.369655158,-1.643108242,-1.763561798
CHEK1,1.047748492,2.467205455,1.639822168,1.170024706,0.741558067,1.524049033,1.685409286,0.913603166,1.521427295,2.656212115
CERK,1.235170367,-0.203895031,-0.092864652,0.336130972,1.096754051,1.870883192,0.254430703,-0.766524154,-0.89013754,0.98385086
CDKN2D,-1.902999805,0.57259006,-0.586455091,-1.06587489,-3.033915586,-0.036573503,0.073137717,-0.547082292,-0.180636795,-1.507749434
CDKN2C,1.478339362,1.821268407,0.489803107,-2.890205663,0.040445361,-1.250515145,-0.562891024,1.494054185,1.615308628,-1.077049772
CDKN2B,-0.558679092,-2.376996511,1.627936188,-2.653768279,-1.799436084,-0.612681434,-6.335423705,1.289997465,1.201772361,-1.337475132
